№;НЗ;Оцінка якості науково-педагогічного потенціалу Iнп;Оцінка якості навчання IН;Оцінка міжнародного визнання IМВ;Оцінка інтегрального показника діяльності ВНЗ. IЗ
1;Національний технічний університет України Київський політехнічний інститут імені ігоря Сікорського;"37.41814";"24.28142";"24.48290";86.18246
2;Київський національний університет імені Тараса Шевченка;"37.76975";"20.83943";"23.28319";81.89237
3;Харківський національний університет імені В.Н. Каразіна;"19.75191";"14.67682";"15.06279";49.49152
4;Національний технічний університет Харківський політехнічний інститут;"18.57321";"10.14642";"16.38257";45.10220
5;Національний університет Львівська політехніка;"12.00884";"15.62617";"17.03906";44.67407
6;Національний гірничий університет;"21.09346";"10.54615";"12.75355";44.39315
7;Національний медичний університет імені О.О. Богомольця;"28.10307";"7.64833";"8.04144";43.79284
8;Національний університет біоресурсів і природокористування України;"17.66555";"14.95786";"10.36397";42.98738
9;Львівський національний університет імені Івана Франка;"12.02046";"14.70377";"16.07945";42.80369
10;Київський національний економічний університет імені Вадима Гетьмана;"11.89403";"18.47322";"11.72613";42.09337
11;Сумський державний університет;"13.32015";"10.39512";"18.28005";41.99531
12;Національний університет Києво-Могилянська академія;"13.27908";"17.36661";"11.34653";41.99222
13;Національний аерокосмічний університет ім. М.Є. Жуковського Харківський авіаційний інститут;"14.52422";"9.16325";"16.81335";40.50082
14;Дніпропетровський національний університет імені Олеся Гончара;"15.74811";"11.89773";"12.18230";39.82814
15;Національна металургійна академія України;"15.99627";"8.51733";"13.67065";38.18426
16;Національний юридичний університет імені Ярослава Мудрого;"15.10547";"11.28967";"9.97108";36.36622
17;Одеський національний університет імені І.І. Мечникова;"11.08986";"7.75304";"16.33042";35.17333
18;Національний педагогічний університет імені М.П. Драгоманова;"11.67345";"11.61483";"11.85866";35.14694
19;Національний авіаційний університет;"12.49293";"12.75783";"9.87560";35.12636
20;Національний університет харчових технологій;"16.63985";"9.85550";"8.60958";35.10492
21;Національний фармацевтичний університет;"15.86263";"11.15940";"8.07514";35.09717
22;Харківський національний університет радіоелектроніки;"13.99809";"7.50036";"12.43083";33.92928
23;Вінницький національний технічний університет;"16.50260";"8.38104";"8.16079";33.04443
24;Чернівецький національний університет імені Юрія Федьковича;"8.11142";"11.00312";"13.87004";32.98459
25;Донецький національний технічний університет;"10.20566";"9.72868";"12.15083";32.08517
26;Вінницький національний медичний університет ім. М.І. Пирогова;"17.09267";"6.72253";"8.09889";31.91410
27;Донецький національний університет імені Василя Стуса;"9.73696";"9.72994";"12.13886";31.60576
28;Київський національний торговельно-економічний університет;"9.24269";"15.53047";"6.63224";31.40541
29;Національний лісотехнічний університет України;"19.75146";"5.28060";"6.02678";31.05883
