№;НЗ;"Оцінка якості науково-педагогічного потенціалу Iнп";"Оцінка якості навчання IН";"Оцінка міжнародного визнання IМВ";Оцінка інтегрального показника діяльності ВНЗ. IЗ
1;Національний технічний університет України Київський політехнічний інститут імені ігоря Сікорського;"37.42";"24.26";"23.06";84.74
1;Київський національний університет імені Тараса Шевченка;"37.77";"20.82";"22.01";80.59
3;Харківський національний університет імені В.Н. Каразіна;"20.20";"14.67";"14.08";48.95
4;Національний технічний університет Харківський політехнічний інститут;"19.11";"11.24";"14.36";44.70
5;Національний університет Львівська політехніка;"14.26";"15.90";"14.51";44.66
6;Національний університет біоресурсів і природокористування України;"17.92";"15.88";"10.15";43.94
7;Національний медичний університет імені О.О. Богомольця;"28.11";"8.00";"7.71";43.82
8;Національний технічний університет «Дніпровська політехніка»;"21.16";"10.17";"11.36";42.69
9;Сумський державний університет;"14.18";"12.16";"16.03";42.37
10;Львівський національний університет імені Івана Франка;"13.54";"14.67";"14.06";42.28
11;Національний аерокосмічний університет ім. М.Є. Жуковського Харківський авіаційний інститут;"16.02";"11.20";"15.06";42.27
12;Національний університет Києво-Могилянська академія;"14.10";"16.94";"11.21";42.26
13;Київський національний економічний університет імені Вадима Гетьмана;"13.54";"16.86";"10.25";40.66
14;Дніпровський національний університет імені Олеся Гончара;"15.98";"12.23";"11.65";39.86
15;Національна металургійна академія України;"17.09";"8.81";"12.95";38.86
16;Національний юридичний університет імені Ярослава Мудрого;"16.23";"11.34";"8.99";36.56
17;Національний університет харчових технологій;"17.25";"10.09";"7.96";35.30
18;Одеський національний університет імені І.І. Мечникова;"12.18";"7.76";"15.26";35.19
19;Національний авіаційний університет;"13.45";"12.70";"9.00";35.15
20;Національний фармацевтичний університет;"15.87";"10.53";"7.62";34.02
21;Національний педагогічний університет імені М.П. Драгоманова;"11.43";"11.30";"10.59";33.33
22;Харківський національний університет Повітряних Сил імені Івана Кожедуба;"17.60";"9.37";"6.25";33.23
23;Харківський національний університет радіоелектроніки;"14.09";"7.61";"11.40";33.10
24;Чернівецький національний університет імені Юрія Федьковича;"9.39";"11.01";"12.57";32.97
25;Вінницький національний технічний університет;"17.14";"8.38";"7.17";32.69
26;Вінницький національний медичний університет ім. М.І. Пирогова;"17.11";"6.80";"7.61";31.52
27;Донецький національний університет імені Василя Стуса;"10.01";"9.79";"11.71";31.51
28;Київський національний торговельно-економічний університет;"9.64";"15.54";"6.22";31.40
29;Національний лісотехнічний університет України;"19.78";"6.12";"5.30";31.19
30;Університет банківської справи НБУ;"9.33";"15.11";"6.65";31.09
31;Харківський національний медичний університет;"15.63";"7.32";"8.08";31.02
32;Київський національний університет технологій та дизайну;"13.41";"10.48";"7.05";30.94
33;Івано-Франківський національний технічний університет нафти і газу;"9.93";"9.06";"11.23";30.22
34;Донецький національний технічний університет;"10.21";"9.26";"10.53";30.01
35;Ужгородський національний університет;"10.88";"10.00";"9.01";29.89
36;Одеський національний економічний університет;"8.09";"14.45";"6.73";29.27
37;Одеський національний політехнічний університет;"8.85";"7.36";"13.01";29.22
38;Тернопільський національний технічний університет імені Івана Пулюя;"11.18";"9.51";"8.41";29.11
39;Тернопільський національний економічний університет;"8.80";"13.71";"6.08";28.59
40;Одеська національна академія харчових технологій;"13.58";"6.99";"7.59";28.16
41;Київський національний університет будівництва і архітектури;"13.17";"8.37";"6.05";27.59
42;Прикарпатський національний університет імені Василя Стефаника;"8.94";"8.94";"10.44";27.53
43;Львівський національний медичний університет імені Данила Галицького;"14.22";"6.29";"7.01";27.52
44;Чорноморський національний університет імені Петра Могили;"8.44";"10.39";"8.46";27.30
45;Хмельницький національний університет;"9.10";"6.23";"11.90";27.23
46;Одеський національний медичний університет;"13.29";"6.65";"7.04";26.97
47;Національний транспортний університет;"11.05";"8.13";"7.73";26.91
48;Запорізький національний технічний університет;"9.30";"8.71";"8.57";26.58
49;Буковинський державний медичний університет;"13.68";"5.72";"7.04";26.45
50;Східноукраїнський національний університет імені Володимира Даля;"8.32";"7.31";"10.68";26.31
51;Національний університет Одеська юридична академія;"9.58";"10.49";"6.04";26.11
52;Харківський національний економічний університет імені Семена Кузнеця;"8.30";"10.19";"7.49";25.97
53;Українська медична стоматологічна академія;"13.01";"5.86";"7.08";25.96
54;Харківський національний автомобільно-дорожній університет;"12.48";"6.70";"6.25";25.43
55;Українська інженерно-педагогічна академія;"11.14";"9.34";"4.90";25.38
56;Центральноукраїнський національний технічний університет;"12.50";"8.83";"3.98";25.31
57;Дніпропетровська медична академія;"13.65";"5.73";"5.82";25.20
58;Запорізький державний медичний університет;"13.04";"5.67";"6.37";25.08
59;Кременчуцький національний університет імені Михайла Остроградського;"8.05";"6.29";"10.57";24.92
60;Дніпропетровський національний університет залізничного транспорту імені академіка В. Лазаряна;"10.01";"7.21";"7.63";24.84
61;Миколаївський національний аграрний університет;"10.94";"9.86";"3.90";24.71
62;Тернопільський державний медичний університет імені І.Я. Горбачевського;"13.79";"5.67";"5.03";24.49
63;Університет економіки та права КРОК;"7.66";"10.70";"5.78";24.15
64;Національна академія керівних кадрів культури і мистецтв;"9.47";"10.42";"4.14";24.03
65;Національний університет водного господарства та природокористування;"11.06";"7.41";"5.37";23.84
66;Національний університет фізичного виховання і спорту України (НУФВСУ);"11.01";"9.79";"2.99";23.78
67;Івано-франківський національний медичний університет;"12.62";"6.14";"5.00";23.76
68;Таврійський державний агротехнологічний університет;"10.96";"7.17";"5.60";23.72
69;Південноукраїнський національний педагогічний університет імені К.Д. Ушинського;"9.04";"7.43";"7.23";23.71
70;Донбаська державна машинобудівна академія;"11.37";"5.64";"6.68";23.69
71;Луганський національний університет імені Тараса Шевченка;"8.10";"10.54";"5.04";23.68
72;Криворізький національний університет;"12.06";"6.55";"5.02";23.63
73;Харківський національний технічний університет сільського господарства імені Петра Василенка;"11.75";"7.40";"4.45";23.60
74;Луцький національний технічний університет;"8.57";"7.03";"7.97";23.57
75;Придніпровська державна академія будівництва та архітектури;"11.48";"6.10";"5.94";23.52
76;Приазовський державний технічний університет;"9.29";"7.29";"6.93";23.51
77;Запорізький національний університет;"8.40";"8.47";"6.63";23.49
78;Одеський державний екологічний університет;"9.80";"6.36";"7.31";23.48
79;Київський університет імені Бориса Грінченка;"8.74";"6.89";"7.83";23.46
80;Східноєвропейський національний університет імені Лесі Українки;"8.52";"8.41";"6.36";23.29
81;Херсонський національний технічний університет;"10.33";"8.71";"3.95";23.00
82;Львівський торговельно-економічний університет;"8.55";"8.82";"5.54";22.91
83;Національна музична академія України імені П.І. Чайковського;"8.73";"10.37";"3.69";22.79
84;Львівська національна музична академія імені М.В. Лисенка;"8.69";"10.33";"3.66";22.67
85;Український державний хіміко-технологічний університет;"12.29";"6.83";"3.47";22.59
86;Одеський національний морський університет;"9.60";"6.81";"6.11";22.53
87;Донецький національний університет економіки і торгівлі імені Михайла Туган-Барановського;"8.04";"7.25";"7.16";22.45
88;Одеська національна академія зв'язку ім. О.С. Попова;"9.45";"8.06";"4.88";22.39
89;Полтавський національний технічний університет імені Юрія Кондратюка;"8.46";"8.85";"4.78";22.10
90;Національна академія внутрішніх справ;"9.60";"8.43";"4.04";22.07
91;Український державний університет залізничного транспорту;"9.73";"7.95";"4.14";21.82
92;Національний університет Острозька академія;"8.04";"8.61";"5.11";21.76
93;Чернігівський національний технологічний університет;"8.66";"7.83";"5.15";21.64
94;Харківський національний університет будівництва та архітектури;"8.92";"7.01";"5.48";21.41
95;Харківський національний університет міського господарства ім. О.М. Бекетова;"8.38";"6.16";"6.69";21.23
96;Донецький національний медичний університет;"12.61";"4.30";"4.31";21.22
97;Кам'янець-Подільський національний університет імені Івана Огієнка;"7.46";"6.74";"7.01";21.21
98;Херсонський державний аграрний університет;"8.73";"8.05";"4.38";21.16
99;Одеська державна академія будівництва та архітектури;"8.01";"6.33";"6.81";21.15
100;Харківський національний педагогічний університет імені Г.С. Сковороди;"8.51";"8.67";"3.93";21.11
101;Одеська національна музична академія ім. А.В. Нежданової;"8.62";"8.82";"3.66";21.10
102;Миколаївський національний університет імені В.О. Сухомлинського;"8.15";"7.14";"5.75";21.04
103;Київський міжнародний університет;"8.04";"9.10";"3.87";21.01
104;Тернопільський національний педагогічний університет імені Володимира Гнатюка;"8.74";"6.40";"5.86";21.00
105;Національний університет Одеська морська академія;"8.36";"5.82";"6.74";20.92
106;Університет імені Альфреда Нобеля;"7.06";"7.07";"6.70";20.83
107;Дніпровський державний аграрно-економічний університет;"7.63";"7.79";"5.39";20.81
108;Херсонський державний університет;"8.03";"8.02";"4.74";20.78
109;Черкаський національний університет імені Богдана Хмельницького;"8.04";"7.24";"5.44";20.72
110;Маріупольський державний університет;"7.91";"7.22";"5.58";20.70
111;Харківський державний університет харчування та торгівлі;"9.10";"7.02";"4.52";20.64
112;Київський національний лінгвістичний університет;"8.04";"7.35";"5.14";20.54
113;Харківський національний аграрний університет ім. В.В. Докучаєва;"8.39";"7.42";"4.62";20.43
114;Донецький державний університет управління;"7.00";"7.02";"6.36";20.39
115;Сумський національний аграрний університет;"8.49";"7.64";"4.05";20.18
116;Полтавська державна аграрна академія;"7.58";"7.81";"4.78";20.17
117;Національна академія образотворчого мистецтва і архітектури;"8.10";"8.37";"3.66";20.13
118;Національний університет кораблебудування імені адмірала Макарова;"9.90";"6.57";"3.59";20.06
119;Житомирський державний технологічний університет;"7.52";"7.01";"5.46";19.99
120;Київський національний університет культури і мистецтв;"8.90";"7.92";"3.16";19.98
121;Національна академія управління;"7.63";"9.00";"3.26";19.88
122;Білоцерківський національний аграрний університет;"7.35";"7.29";"5.13";19.77
123;Академія адвокатури України;"8.41";"8.17";"3.02";19.60
124;Університет державної фіскальної служби України;"7.82";"7.80";"3.95";19.57
125;Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди;"7.26";"7.21";"4.82";19.28
126;Центральноукраїнський державний педагогічний університет імені Володимира Винниченка;"7.13";"7.07";"5.07";19.26
127;Подільський державний аграрно-технічний університет;"7.96";"6.55";"4.74";19.25
128;Вінницький національний аграрний університет;"7.60";"6.57";"5.02";19.19
129;Таврійський національний університет ім. В.І. Вернадського;"7.00";"6.91";"5.10";19.01
130;Уманський національний університет садівництва;"7.01";"6.24";"5.66";18.91
131;Житомирський державний університет імені Івана Франка;"7.53";"7.14";"4.14";18.81
132;Національна академія статистики. обліку та аудиту;"7.73";"7.30";"3.70";18.74
133;Черкаський державний технологічний університет;"7.09";"6.86";"4.75";18.70
134;Запорізька державна інженерна академія;"7.67";"6.75";"4.12";18.55
135;Полтавський університет економіки і торгівлі;"7.11";"5.69";"5.52";18.31
136;Уманський державний педагогічний університет імені Павла Тичини;"7.31";"7.34";"3.59";18.24
137;Харківський національний університет мистецтв ім. І.П. Котляревського;"7.50";"7.38";"3.33";18.20
138;Харківська державна зооветеринарна академія;"6.77";"6.58";"4.75";18.10
139;Донбаський державний технічний університет;"7.81";"5.80";"4.35";17.95
140;Львівський національний аграрний університет;"6.60";"6.21";"5.05";17.87
141;Національний університет цивільного захисту України;"7.81";"6.19";"3.82";17.83
142;Київський національний університет театру. кіно і телебачення імені І.К. Карпенка-Карого;"7.28";"7.14";"3.38";17.80
143;Львівський державний університет фізичної культури;"7.49";"7.33";"2.94";17.77
144;Харківська державна академія фізичної культури;"7.42";"7.26";"3.07";17.76
145;Класичний приватний університет;"6.55";"6.64";"4.31";17.49
146;Українська академія друкарства;"7.15";"6.91";"3.41";17.47
147;Бердянський державний педагогічний університет;"7.33";"5.86";"4.15";17.34
148;Житомирський національний агроекологічний університет;"6.70";"6.96";"3.66";17.31
149;Харківська державна академія культури;"7.68";"6.15";"3.47";17.30
150;Міжнародний університет фінансів;"7.20";"6.79";"3.22";17.21
151;Університет митної справи та фінансів;"6.72";"6.04";"4.35";17.11
152;Державний університет телекомунікацій;"7.23";"6.13";"3.73";17.09
153;Луганський державний медичний університет;"8.41";"4.29";"4.26";16.96
154;Міжнародний економіко-гуманітарний університет імені академіка Степана Дем'янчука;"7.60";"5.45";"3.82";16.86
155;Національний університет Чернігівський колегіум імені Т.Г. Шевченка;"7.37";"6.09";"3.25";16.71
156;Відкритий міжнародний університет розвитку людини «Україна»;"6.62";"6.65";"3.38";16.65
157;Хмельницький університет управління та права;"5.85";"5.88";"4.85";16.58
158;Львівський державний університет безпеки життєдіяльності;"6.67";"6.11";"3.76";16.53
159;Мелітопольський державний педагогічний університет імені Богдана Хмельницького;"6.62";"5.76";"4.10";16.47
160;Дрогобицький державний педагогічний університет імені Івана Франка;"7.32";"6.16";"2.92";16.40
161;Вінницький державний педагогічний університет імені Михайла Коцюбинського;"7.07";"6.34";"2.97";16.37
162;Луганський національний аграрний університет;"6.69";"6.19";"3.37";16.25
163;Львівський національний університет ветеринарної медицини та біотехнологій імені С.З. Гжицького;"6.58";"6.07";"3.50";16.16
164;Міжнародний науково-технічний університет ім. академіка Юрія Бугая;"7.02";"6.07";"3.00";16.09
165;Львівська національна академія мистецтв;"6.83";"6.16";"2.88";15.88
166;Дніпровський державний технічний університет;"6.95";"5.13";"3.76";15.83
167;Донбаський державний педагогічний університет;"6.89";"5.74";"3.03";15.66
168;Київський медичний університет УАНМ;"7.65";"4.41";"3.51";15.56
169;Київський університет права Національної академії наук України;"6.32";"5.18";"3.90";15.41
170;Мукачівський державний університет;"6.34";"5.61";"3.36";15.32
171;Академія праці. соціальних відносин і туризму;"5.91";"5.41";"3.88";15.20
172;Донбаська національна академія будівництва і архітектури;"6.15";"5.07";"3.87";15.10
173;Харківська державна академія дизайну і мистецтв;"6.74";"5.33";"2.98";15.05
174;Ніжинський державний університет імені Миколи Гоголя;"5.54";"5.30";"4.07";14.91
175;Криворізький державний педагогічний університет;"6.58";"4.85";"3.27";14.70
176;Сумський державний педагогічний університет ім. А.С. Макаренка;"6.20";"5.89";"2.32";14.42
177;Державний університет інфраструктури та технологій;"6.09";"5.09";"3.17";14.35
178;Рівненський державний гуманітарний університет;"5.71";"5.65";"2.91";14.28
179;Харківський гуманітарний університет Народна українська академія;"5.69";"5.52";"3.04";14.25
180;Полтавський національний педагогічний університет імені В.Г. Короленка;"6.19";"5.21";"2.82";14.22
181;Дніпропетровський державний університет внутрішніх справ;"5.86";"5.39";"2.95";14.19
182;Український Католицький Університет;"5.78";"5.33";"2.90";14.02
183;Херсонська державна морська академія;"6.42";"4.38";"3.12";13.92
184;Одеська державна академія технічного регулювання та якості;"5.85";"5.05";"2.64";13.54
185;Хмельницька гуманітарно-педагогічна академія;"5.56";"5.62";"2.17";13.36
186;Глухівський національний педагогічний університет імені Олександра Довженка;"5.29";"5.24";"2.79";13.32
187;Київський державний інститут декоративно-прикладного мистецтва і дизайну імені Михайла Бойчука;"5.63";"4.04";"2.95";12.61
188;Придніпровська державна академія фізичної культури і спорту;"5.28";"4.69";"2.58";12.56
189;Донецький юридичний інститут;"5.08";"5.03";"2.38";12.49
190;Європейський університет;"5.04";"4.99";"2.37";12.41
191;Дніпровський гуманітарний університет;"5.22";"5.31";"1.78";12.31
192;Ізмаїльський державний гуманітарний університет;"5.45";"4.95";"1.87";12.26
193;Закарпатський угорський інститут імені Ференца Ракоці ІІ;"5.40";"4.60";"2.15";12.15
194;Харківська гуманітарно-педагогічна академія;"5.01";"5.00";"2.09";12.10
195;Івано-Франківський університет права імені Короля Данила Галицького;"4.92";"4.80";"2.18";11.90
196;Одеський державний аграрний університет;"5.16";"4.53";"2.14";11.83
197;Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка;"5.33";"3.98";"2.13";11.44
198;Львівський інститут економіки і туризму;"5.39";"3.54";"2.50";11.43
199;Закарпатська академія мистецтв;"4.59";"4.22";"2.51";11.32
200;Київський університет туризму. економіки і права;"4.58";"4.07";"2.58";11.23
