№;ЗВО;Оцінка якості науково-педагогічного потенціалу Iнп;Оцінка якості навчання IН;Оцінка міжнародного визнання IМВ;Оцінка інтегрального показника діяльності ЗВО. IЗ
1;Київський національний університет імені Тараса Шевченка;40.95;22.32;14.76;78.03
2;Національний технічний університет України Київський політехнічний інститут імені ігоря Сікорського;40.76;21.00;14.88;76.64
3;Харківський національний університет імені В.Н. Каразіна;21.06;13.55;12.39;47.00
4;Національний університет Львівська політехніка;16.72;16.94;13.33;46.99
5;Національний технічний університет Харківський політехнічний інститут;20.07;14.81;8.63;43.51
6;Сумський державний університет;15.71;17.68;10.11;43.50
7;Національний університет біоресурсів і природокористування України;19.75;12.71;5.97;38.43
8;Національний технічний університет Дніпровська політехніка;20.96;6.40;9.79;37.15
9;Львівський національний університет імені Івана Франка;16.69;13.90;5.67;36.26
10;Національний аерокосмічний університет ім. М.Є. Жуковського Харківський авіаційний інститут;16.63;7.16;11.60;35.39
11;Національний медичний університет імені О.О. Богомольця;24.19;7.30;3.88;35.37
12;Національний університет Києво-Могилянська академія;14.78;11.79;8.06;34.63
13;Національний авіаційний університет;13.63;8.56;8.50;30.69
14;Дніпровський національний університет імені Олеся Гончара;16.60;8.07;4.39;29.06
15;Національна металургійна академія України;18.12;6.09;4.39;28.60
16;Одеський національний університет імені І. І. Мечникова;12.64;7.29;8.60;28.53
17;Національний університет харчових технологій;17.28;6.81;4.31;28.40
18;Харківський національний університет радіоелектроніки;14.09;7.53;6.75;28.37
19;Харківський національний університет Повітряних Сил імені Івана Кожедуба;21.36;4.35;2.00;27.71
20;Київський національний економічний університет імені Вадима Гетьмана;14.04;10.39;3.21;27.64
21;Національний юридичний університет імені Ярослава Мудрого;16.78;6.23;4.24;27.25
22;Вінницький національний медичний університет ім. М.І. Пирогова;17.20;5.47;4.44;27.11
23;Національний лісотехнічний університет України;18.32;3.78;4.80;26.90
24;Чернівецький національний університет імені Юрія Федьковича;12.87;9.22;4.20;26.29
25;Вінницький національний технічний університет;17.15;6.13;2.71;25.99
26;Національний фармацевтичний університет;15.70;4.78;5.15;25.63
27;Одеська національна академія харчових технологій;13.57;6.29;5.69;25.55
28;Харківський національний автомобільно-дорожній університет;12.65;10.66;1.22;24.53
29;Київський національний торговельно-економічний університет;12.18;8.70;3.45;24.33
30;Національний педагогічний університет імені М.П. Драгоманова;12.41;6.50;5.19;24.10
31;Донецький національний університет імені Василя Стуса;10.27;6.85;6.92;24.04
32;Київський національний університет технологій та дизайну;13.93;5.85;4.06;23.84
33;Харківський національний медичний університет;14.79;4.95;4.00;23.74
